id,detail,address,price,url,Longitude,Latitude,"id	detail	address	price	url	Longitude	Latitude"
20,【整租】定福庄 传媒大学乐乎城市 1室1厅,传媒大学乐乎城市,2550,http://bj.58.com/pinpaigongyu/32348489293117x.shtml?psid=130606396198568301434657809,116.556581,39.912793,"20	【整租】定福庄 传媒大学乐乎城市 1室1厅	传媒大学乐乎城市	2550	http://bj.58.com/pinpaigongyu/32348489293117x.shtml?psid=130606396198568301434657809	116.556581	39.912793"
21,【整租】百子湾 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2750,http://bj.58.com/pinpaigongyu/32602052908748x.shtml?psid=130606396198568301434657809,116.426311,39.905583,"21	【整租】百子湾 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2750	http://bj.58.com/pinpaigongyu/32602052908748x.shtml?psid=130606396198568301434657809	116.426311	39.905583"
22,【整租】百子湾 百子湾乐乎公寓 1室1厅,百子湾乐乎公寓,2400,http://bj.58.com/pinpaigongyu/32383309645901x.shtml?psid=130606396198568301434657809,116.500939,39.893129,"22	【整租】百子湾 百子湾乐乎公寓 1室1厅	百子湾乐乎公寓	2400	http://bj.58.com/pinpaigongyu/32383309645901x.shtml?psid=130606396198568301434657809	116.500939	39.893129"
23,【整租】芍药居 芍药居北里 1室1厅,芍药居北里,3100,http://bj.58.com/pinpaigongyu/32347944920627x.shtml?psid=130606396198568301434657809,116.431269,39.986689,"23	【整租】芍药居 芍药居北里 1室1厅	芍药居北里	3100	http://bj.58.com/pinpaigongyu/32347944920627x.shtml?psid=130606396198568301434657809	116.431269	39.986689"
24,【整租】高碑店 传媒大学乐乎城市 1室1厅,传媒大学乐乎城市,2550,http://bj.58.com/pinpaigongyu/32488885482829x.shtml?psid=130606396198568301434657809,116.556581,39.912793,"24	【整租】高碑店 传媒大学乐乎城市 1室1厅	传媒大学乐乎城市	2550	http://bj.58.com/pinpaigongyu/32488885482829x.shtml?psid=130606396198568301434657809	116.556581	39.912793"
25,【合租】孙河 康营家园13期 3室主卧,康营家园13期,2280,http://bj.58.com/pinpaigongyu/31626194825275x.shtml?psid=130606396198568301434657809,116.54962,40.033518,"25	【合租】孙河 康营家园13期 3室主卧	康营家园13期	2280	http://bj.58.com/pinpaigongyu/31626194825275x.shtml?psid=130606396198568301434657809	116.54962	40.033518"
26,【整租】高碑店 通盛苑 1室0厅,通盛苑,2400,http://bj.58.com/pinpaigongyu/32588848366898x.shtml?psid=130606396198568301434657809,116.407307,39.972282,"26	【整租】高碑店 通盛苑 1室0厅	通盛苑	2400	http://bj.58.com/pinpaigongyu/32588848366898x.shtml?psid=130606396198568301434657809	116.407307	39.972282"
27,【整租】百子湾 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2700,http://bj.58.com/pinpaigongyu/32591579644102x.shtml?psid=130606396198568301434657809,116.426311,39.905583,"27	【整租】百子湾 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2700	http://bj.58.com/pinpaigongyu/32591579644102x.shtml?psid=130606396198568301434657809	116.426311	39.905583"
28,【合租】孙河 康营家园17期 3室主卧,康营家园17期,2600,http://bj.58.com/pinpaigongyu/31948951965753x.shtml?psid=130606396198568301434657809,116.54962,40.033518,"28	【合租】孙河 康营家园17期 3室主卧	康营家园17期	2600	http://bj.58.com/pinpaigongyu/31948951965753x.shtml?psid=130606396198568301434657809	116.54962	40.033518"
29,【整租】花乡 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2400,http://bj.58.com/pinpaigongyu/32592198944440x.shtml?psid=130606396198568301434657809,116.426311,39.905583,"29	【整租】花乡 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2400	http://bj.58.com/pinpaigongyu/32592198944440x.shtml?psid=130606396198568301434657809	116.426311	39.905583"
30,【合租】亦庄 鹿鸣苑 5室次卧,鹿鸣苑,3500,http://bj.58.com/pinpaigongyu/31988853329980x.shtml?psid=130606396198568301434657809,116.499859,39.801037,"30	【合租】亦庄 鹿鸣苑 5室次卧	鹿鸣苑	3500	http://bj.58.com/pinpaigongyu/31988853329980x.shtml?psid=130606396198568301434657809	116.499859	39.801037"
32,【合租】北关 新建村 3室次卧,新建村,2360,http://bj.58.com/pinpaigongyu/31707535525190x.shtml?psid=130606396198568301434657809,116.648251,39.928496,"32	【合租】北关 新建村 3室次卧	新建村	2360	http://bj.58.com/pinpaigongyu/31707535525190x.shtml?psid=130606396198568301434657809	116.648251	39.928496"
33,【合租】北苑 茉藜园 3室次卧,茉藜园,2300,http://bj.58.com/pinpaigongyu/32292646086982x.shtml?psid=130606396198568301434657809,116.415805,40.040656,"33	【合租】北苑 茉藜园 3室次卧	茉藜园	2300	http://bj.58.com/pinpaigongyu/32292646086982x.shtml?psid=130606396198568301434657809	116.415805	40.040656"
34,【合租】朝青板块 雅成一里 3室次卧,雅成一里,2920,http://bj.58.com/pinpaigongyu/32515274619980x.shtml?psid=130606396198568301434657809,116.5206761,39.9271032,"34	【合租】朝青板块 雅成一里 3室次卧	雅成一里	2920	http://bj.58.com/pinpaigongyu/32515274619980x.shtml?psid=130606396198568301434657809	116.5206761	39.9271032"
36,【整租】沙河 巩华家园南一村 2室1厅,巩华家园南一村,4000,http://bj.58.com/pinpaigongyu/32622512554434x.shtml?psid=130606396198568301434657809,116.272576,40.132269,"36	【整租】沙河 巩华家园南一村 2室1厅	巩华家园南一村	4000	http://bj.58.com/pinpaigongyu/32622512554434x.shtml?psid=130606396198568301434657809	116.272576	40.132269"
37,【整租】西坝河 西坝河东里 1室1厅,西坝河东里,3500,http://bj.58.com/pinpaigongyu/31144419525428x.shtml?psid=130606396198568301434657809,116.446974,39.96767,"37	【整租】西坝河 西坝河东里 1室1厅	西坝河东里	3500	http://bj.58.com/pinpaigongyu/31144419525428x.shtml?psid=130606396198568301434657809	116.446974	39.96767"
39,【合租】九棵树 K2玉兰湾 5室主卧,K2玉兰湾,2500,http://bj.58.com/pinpaigongyu/32633155338284x.shtml?psid=130606396198568301434657809,116.658102,39.887606,"39	【合租】九棵树 K2玉兰湾 5室主卧	K2玉兰湾	2500	http://bj.58.com/pinpaigongyu/32633155338284x.shtml?psid=130606396198568301434657809	116.658102	39.887606"
40,【整租】花乡 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2400,http://bj.58.com/pinpaigongyu/32592198944440x.shtml?psid=196062875198568302916735332,116.426311,39.905583,"40	【整租】花乡 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2400	http://bj.58.com/pinpaigongyu/32592198944440x.shtml?psid=196062875198568302916735332	116.426311	39.905583"
41,【整租】百子湾 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2800,http://bj.58.com/pinpaigongyu/32570642739514x.shtml?psid=196062875198568302916735332,116.426311,39.905583,"41	【整租】百子湾 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2800	http://bj.58.com/pinpaigongyu/32570642739514x.shtml?psid=196062875198568302916735332	116.426311	39.905583"
42,【整租】总部基地 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2200,http://bj.58.com/pinpaigongyu/32336640915007x.shtml?psid=196062875198568302916735332,116.426311,39.905583,"42	【整租】总部基地 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2200	http://bj.58.com/pinpaigongyu/32336640915007x.shtml?psid=196062875198568302916735332	116.426311	39.905583"
43,【整租】双桥 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2550,http://bj.58.com/pinpaigongyu/32536245900986x.shtml?psid=196062875198568302916735332,116.426311,39.905583,"43	【整租】双桥 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2550	http://bj.58.com/pinpaigongyu/32536245900986x.shtml?psid=196062875198568302916735332	116.426311	39.905583"
44,【整租】总部基地 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2200,http://bj.58.com/pinpaigongyu/32468086442420x.shtml?psid=196062875198568302916735332,116.426311,39.905583,"44	【整租】总部基地 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2200	http://bj.58.com/pinpaigongyu/32468086442420x.shtml?psid=196062875198568302916735332	116.426311	39.905583"
